Confidence,max_confidence,Emotion
0.5672310590744019,"[0.5672310590744019, 0.4019140303134918, 0.030854901298880577]",Negative
0.5502319931983948,"[0.5502319931983948, 0.4167941212654114, 0.03297386318445206]",Negative
0.5533254146575928,"[0.5533254146575928, 0.41508302092552185, 0.03159160912036896]",Negative
0.5649341940879822,"[0.5649341940879822, 0.4047926366329193, 0.03027317114174366]",Negative
0.5480582118034363,"[0.5480582118034363, 0.4191238582134247, 0.03281792253255844]",Negative
0.5501076579093933,"[0.5501076579093933, 0.4172998070716858, 0.032592471688985825]",Negative
0.5411837697029114,"[0.5411837697029114, 0.42431679368019104, 0.034499477595090866]",Negative
0.5332593321800232,"[0.5332593321800232, 0.4310944080352783, 0.035646289587020874]",Negative
0.5443330407142639,"[0.5443330407142639, 0.42178085446357727, 0.033886026591062546]",Negative
0.5613380074501038,"[0.5613380074501038, 0.4070492088794708, 0.0316128134727478]",Negative
0.5529873967170715,"[0.5529873967170715, 0.41480955481529236, 0.03220301866531372]",Negative
0.5366440415382385,"[0.5366440415382385, 0.4281274378299713, 0.03522847965359688]",Negative
0.5378935933113098,"[0.5378935933113098, 0.427247554063797, 0.03485880792140961]",Negative
0.5420370697975159,"[0.5420370697975159, 0.4233955442905426, 0.03456740081310272]",Negative
0.5460361838340759,"[0.5460361838340759, 0.420582115650177, 0.03338159993290901]",Negative
0.5558270215988159,"[0.5558270215988159, 0.41181427240371704, 0.03235867619514465]",Negative
0.5613564848899841,"[0.5613564848899841, 0.4075447916984558, 0.03109872154891491]",Negative
0.5531037449836731,"[0.5531037449836731, 0.41468489170074463, 0.032211340963840485]",Negative
0.5450761318206787,"[0.5450761318206787, 0.4212997853755951, 0.03362409025430679]",Negative
0.5399802923202515,"[0.5399802923202515, 0.425590842962265, 0.03442886471748352]",Negative
0.541576623916626,"[0.541576623916626, 0.4233741760253906, 0.0350491926074028]",Negative
0.5344420075416565,"[0.5344420075416565, 0.429665744304657, 0.0358922965824604]",Negative
0.5344983339309692,"[0.5344983339309692, 0.4301535189151764, 0.03534812480211258]",Negative
0.5443764925003052,"[0.5443764925003052, 0.42127352952957153, 0.03434993699193001]",Negative
0.5654115080833435,"[0.5654115080833435, 0.40257129073143005, 0.03201720863580704]",Negative
