Confidence,max_confidence,Emotion
0.5787609219551086,"[0.39730358123779297, 0.5787609219551086, 0.023935487493872643]",Neutral
0.5761660933494568,"[0.40011852979660034, 0.5761660933494568, 0.02371537871658802]",Neutral
0.5772104859352112,"[0.3981715738773346, 0.5772104859352112, 0.024617912247776985]",Neutral
0.570246160030365,"[0.4061713218688965, 0.570246160030365, 0.023582564666867256]",Neutral
0.5793308019638062,"[0.3981839716434479, 0.5793308019638062, 0.02248517982661724]",Neutral
0.5821888446807861,"[0.3942314386367798, 0.5821888446807861, 0.023579739034175873]",Neutral
0.5791261792182922,"[0.39768144488334656, 0.5791261792182922, 0.023192407563328743]",Neutral
0.5748677253723145,"[0.40133264660835266, 0.5748677253723145, 0.023799557238817215]",Neutral
0.5801052451133728,"[0.39705127477645874, 0.5801052451133728, 0.022843483835458755]",Neutral
0.5844435095787048,"[0.3913739025592804, 0.5844435095787048, 0.02418258972465992]",Neutral
0.5879810452461243,"[0.38933491706848145, 0.5879810452461243, 0.022684019058942795]",Neutral
0.5870485305786133,"[0.3875201642513275, 0.5870485305786133, 0.025431323796510696]",Neutral
0.5841695666313171,"[0.39233335852622986, 0.5841695666313171, 0.023497138172388077]",Neutral
0.5852041840553284,"[0.3907129466533661, 0.5852041840553284, 0.02408284693956375]",Neutral
0.5764808654785156,"[0.4002624452114105, 0.5764808654785156, 0.02325672283768654]",Neutral
0.5749812722206116,"[0.40179672837257385, 0.5749812722206116, 0.023221956565976143]",Neutral
0.5786795616149902,"[0.3983861207962036, 0.5786795616149902, 0.022934315726161003]",Neutral
0.5802461504936218,"[0.39604201912879944, 0.5802461504936218, 0.02371184155344963]",Neutral
0.5842540264129639,"[0.3916874825954437, 0.5842540264129639, 0.024058528244495392]",Neutral
0.5848348736763,"[0.3906441926956177, 0.5848348736763, 0.024520954117178917]",Neutral
0.5811216831207275,"[0.39593979716300964, 0.5811216831207275, 0.02293846756219864]",Neutral
0.5827194452285767,"[0.3942945599555969, 0.5827194452285767, 0.022985994815826416]",Neutral
0.5785708427429199,"[0.3987569212913513, 0.5785708427429199, 0.022672224789857864]",Neutral
0.5840813517570496,"[0.39237844944000244, 0.5840813517570496, 0.02354014478623867]",Neutral
0.5705018043518066,"[0.4070984721183777, 0.5705018043518066, 0.02239975333213806]",Neutral
0.5964251756668091,"[0.3795427978038788, 0.5964251756668091, 0.024032071232795715]",Neutral
0.5853935480117798,"[0.39170798659324646, 0.5853935480117798, 0.02289847657084465]",Neutral
0.5937227010726929,"[0.3826608657836914, 0.5937227010726929, 0.023616451770067215]",Neutral
0.5917261242866516,"[0.3843129873275757, 0.5917261242866516, 0.023960907012224197]",Neutral
0.5875019431114197,"[0.3881337344646454, 0.5875019431114197, 0.024364298209547997]",Neutral
0.5859643220901489,"[0.39113229513168335, 0.5859643220901489, 0.022903403267264366]",Neutral
0.5826588869094849,"[0.3947315216064453, 0.5826588869094849, 0.022609522566199303]",Neutral
0.596307635307312,"[0.37958064675331116, 0.596307635307312, 0.024111688137054443]",Neutral
0.5993691682815552,"[0.37570253014564514, 0.5993691682815552, 0.02492830716073513]",Neutral
0.5930743217468262,"[0.38250118494033813, 0.5930743217468262, 0.024424463510513306]",Neutral
0.5932198762893677,"[0.38094162940979004, 0.5932198762893677, 0.025838542729616165]",Neutral
0.5906034111976624,"[0.3824233412742615, 0.5906034111976624, 0.026973234489560127]",Neutral
0.5688061714172363,"[0.40472689270973206, 0.5688061714172363, 0.026466937735676765]",Neutral
0.533870279788971,"[0.44072267413139343, 0.533870279788971, 0.025406979024410248]",Neutral
0.5207304358482361,"[0.4521913528442383, 0.5207304358482361, 0.027078229933977127]",Neutral
0.49352654814720154,"[0.4821198880672455, 0.49352654814720154, 0.024353576824069023]",Neutral
0.49669814109802246,"[0.49669814109802246, 0.47964468598365784, 0.0236571803689003]",Negative
0.5149269700050354,"[0.5149269700050354, 0.4620697498321533, 0.023003336042165756]",Negative
0.5267954468727112,"[0.5267954468727112, 0.45081210136413574, 0.02239248901605606]",Negative
0.5530331134796143,"[0.5530331134796143, 0.42592552304267883, 0.02104129083454609]",Negative
0.5719724297523499,"[0.5719724297523499, 0.4090341031551361, 0.018993444740772247]",Negative
0.5793694257736206,"[0.5793694257736206, 0.4012826681137085, 0.019347909837961197]",Negative
0.5785612463951111,"[0.5785612463951111, 0.40216100215911865, 0.019277751445770264]",Negative
0.5815956592559814,"[0.5815956592559814, 0.3995557427406311, 0.01884862221777439]",Negative
0.5785478949546814,"[0.5785478949546814, 0.4013226330280304, 0.020129509270191193]",Negative
0.5623605847358704,"[0.5623605847358704, 0.41647109389305115, 0.021168334409594536]",Negative
0.5663046836853027,"[0.5663046836853027, 0.4132250249385834, 0.020470283925533295]",Negative
0.5715158581733704,"[0.5715158581733704, 0.40920549631118774, 0.019278638064861298]",Negative
0.5594009757041931,"[0.5594009757041931, 0.41944506764411926, 0.021154005080461502]",Negative
0.5589293837547302,"[0.5589293837547302, 0.42142170667648315, 0.019648954272270203]",Negative
0.5492510199546814,"[0.5492510199546814, 0.42882415652275085, 0.021924804896116257]",Negative
0.5470730662345886,"[0.5470730662345886, 0.43140721321105957, 0.02151978760957718]",Negative
0.5346588492393494,"[0.5346588492393494, 0.44148966670036316, 0.023851489648222923]",Negative
0.5366722941398621,"[0.5366722941398621, 0.4398258626461029, 0.023501822724938393]",Negative
0.5159972906112671,"[0.5159972906112671, 0.45707738399505615, 0.026925403624773026]",Negative
0.5037704110145569,"[0.5037704110145569, 0.46947991847991943, 0.0267496258020401]",Negative
0.5044185519218445,"[0.5044185519218445, 0.46758148074150085, 0.027999931946396828]",Negative
0.4993748664855957,"[0.4993748664855957, 0.47332024574279785, 0.027304843068122864]",Negative
0.4910203814506531,"[0.4910203814506531, 0.4790039658546448, 0.029975609853863716]",Negative
0.48745197057724,"[0.48288410902023315, 0.48745197057724, 0.029663845896720886]",Neutral
0.49851906299591064,"[0.466541051864624, 0.49851906299591064, 0.03493993356823921]",Neutral
0.4966212213039398,"[0.46979212760925293, 0.4966212213039398, 0.033586639910936356]",Neutral
0.5171014666557312,"[0.44589847326278687, 0.5171014666557312, 0.03700004518032074]",Neutral
0.5218360424041748,"[0.44153231382369995, 0.5218360424041748, 0.03663162887096405]",Neutral
0.540802538394928,"[0.41649895906448364, 0.540802538394928, 0.04269849509000778]",Neutral
0.5341600775718689,"[0.4278790354728699, 0.5341600775718689, 0.03796091675758362]",Neutral
0.5462244153022766,"[0.4107816815376282, 0.5462244153022766, 0.0429939366877079]",Neutral
0.547946035861969,"[0.4050213098526001, 0.547946035861969, 0.047032687813043594]",Neutral
0.5403690934181213,"[0.41808319091796875, 0.5403690934181213, 0.04154769703745842]",Neutral
0.5764132142066956,"[0.3759381175041199, 0.5764132142066956, 0.047648653388023376]",Neutral
0.5759247541427612,"[0.38167575001716614, 0.5759247541427612, 0.04239952936768532]",Neutral
0.5775145292282104,"[0.3725861608982086, 0.5775145292282104, 0.049899276345968246]",Neutral
0.5843464136123657,"[0.3642173707485199, 0.5843464136123657, 0.051436200737953186]",Neutral
0.5919573307037354,"[0.35717156529426575, 0.5919573307037354, 0.05087114870548248]",Neutral
0.6047958731651306,"[0.3418141007423401, 0.6047958731651306, 0.05339000001549721]",Neutral
0.6078294515609741,"[0.3379038870334625, 0.6078294515609741, 0.05426661670207977]",Neutral
0.602810800075531,"[0.34771186113357544, 0.602810800075531, 0.04947734624147415]",Neutral
0.6236090660095215,"[0.32090675830841064, 0.6236090660095215, 0.05548419430851936]",Neutral
0.6211526393890381,"[0.3176094591617584, 0.6211526393890381, 0.061237867921590805]",Neutral
0.6271292567253113,"[0.3179324269294739, 0.6271292567253113, 0.05493827164173126]",Neutral
0.6395768523216248,"[0.30337777733802795, 0.6395768523216248, 0.0570453479886055]",Neutral
0.6464776992797852,"[0.30121558904647827, 0.6464776992797852, 0.05230669677257538]",Neutral
0.6493896842002869,"[0.2966524660587311, 0.6493896842002869, 0.053957801312208176]",Neutral
0.6532520651817322,"[0.293619304895401, 0.6532520651817322, 0.053128693252801895]",Neutral
0.6531592607498169,"[0.2955764830112457, 0.6531592607498169, 0.05126424878835678]",Neutral
0.6664385199546814,"[0.28122007846832275, 0.6664385199546814, 0.05234139412641525]",Neutral
0.6645060777664185,"[0.28692296147346497, 0.6645060777664185, 0.04857094585895538]",Neutral
0.6663500666618347,"[0.28467294573783875, 0.6663500666618347, 0.04897693544626236]",Neutral
0.6770819425582886,"[0.2758220136165619, 0.6770819425582886, 0.04709601029753685]",Neutral
0.6668922305107117,"[0.2839526832103729, 0.6668922305107117, 0.04915504902601242]",Neutral
0.6693136096000671,"[0.2809208631515503, 0.6693136096000671, 0.04976554587483406]",Neutral
0.6785778403282166,"[0.27491477131843567, 0.6785778403282166, 0.046507369726896286]",Neutral
0.6736811995506287,"[0.27579280734062195, 0.6736811995506287, 0.05052598938345909]",Neutral
0.681140124797821,"[0.2708369195461273, 0.681140124797821, 0.04802294448018074]",Neutral
0.6816449165344238,"[0.2697044610977173, 0.6816449165344238, 0.04865063726902008]",Neutral
0.6613958477973938,"[0.2963203489780426, 0.6613958477973938, 0.04228378087282181]",Neutral
0.6764482855796814,"[0.2821296453475952, 0.6764482855796814, 0.0414220467209816]",Neutral
0.6772549748420715,"[0.2779049277305603, 0.6772549748420715, 0.044840097427368164]",Neutral
0.6732134222984314,"[0.28472256660461426, 0.6732134222984314, 0.04206404089927673]",Neutral
0.6735642552375793,"[0.28164249658584595, 0.6735642552375793, 0.044793255627155304]",Neutral
0.6767020225524902,"[0.28470632433891296, 0.6767020225524902, 0.03859168663620949]",Neutral
0.6643837094306946,"[0.2951541841030121, 0.6643837094306946, 0.04046207293868065]",Neutral
0.6767630577087402,"[0.28685998916625977, 0.6767630577087402, 0.036376986652612686]",Neutral
0.6803526282310486,"[0.2774406969547272, 0.6803526282310486, 0.04220662638545036]",Neutral
0.6729980707168579,"[0.28456923365592957, 0.6729980707168579, 0.04243271052837372]",Neutral
0.6763185858726501,"[0.28507840633392334, 0.6763185858726501, 0.038603030145168304]",Neutral
0.6815141439437866,"[0.28208038210868835, 0.6815141439437866, 0.03640550747513771]",Neutral
0.6827306747436523,"[0.279225617647171, 0.6827306747436523, 0.03804370388388634]",Neutral
0.6748420000076294,"[0.28453871607780457, 0.6748420000076294, 0.04061926156282425]",Neutral
0.6797138452529907,"[0.2797031104564667, 0.6797138452529907, 0.04058310389518738]",Neutral
0.6626711487770081,"[0.3000999391078949, 0.6626711487770081, 0.037228889763355255]",Neutral
0.6773061752319336,"[0.2837042510509491, 0.6773061752319336, 0.038989610970020294]",Neutral
0.6703358292579651,"[0.2941478490829468, 0.6703358292579651, 0.03551633283495903]",Neutral
0.6685735583305359,"[0.2958369553089142, 0.6685735583305359, 0.03558946028351784]",Neutral
0.6686771512031555,"[0.2949666976928711, 0.6686771512031555, 0.03635622560977936]",Neutral
0.6688117980957031,"[0.2982247769832611, 0.6688117980957031, 0.03296341374516487]",Neutral
0.6691613793373108,"[0.29403117299079895, 0.6691613793373108, 0.036807455122470856]",Neutral
0.6672027707099915,"[0.2965886890888214, 0.6672027707099915, 0.036208510398864746]",Neutral
0.6737881898880005,"[0.28945261240005493, 0.6737881898880005, 0.03675920143723488]",Neutral
